Gene,GSM158635,GSM158636,GSM158637,GSM158638,GSM158639,GSM158640,GSM158641,GSM158642,GSM158643
MYO7B,172.0,360.0,325.0,263.0,179.33333330000005,143.33333330000005,380.3333333,196.3333333,238.0
MYO9A,1209.0,1234.0,1067.0,1095.0,893.3333332999997,818.6666667000002,792.0,872.6666667000003,1135.0
MYO9B,914.0,1120.0,1463.0,1146.0,728.3333332999998,587.6666667000002,1247.666667,632.6666667000002,661.0
MYOC,373.0,523.0,481.0,1052.0,153.33333330000005,227.6666667,442.0,265.0,347.3333333
MYOD1,24.0,59.0,72.0,-96.0,-8.3333333,-130.0,-34.6666667,-83.33333329999998,-73.66666670000002
MYOF,3885.0,2572.0,4998.0,3228.0,6177.333333,7288.333333,4523.333333,5212.333333,2934.333333
MYOG,292.0,223.0,171.0,288.0,181.6666667,157.0,203.6666667,187.3333333,226.6666667
MYOM1,213.0,190.0,133.0,129.0,134.66666669999998,138.0,124.0,122.6666667,174.0
MYOM2,73.0,235.0,156.0,20.0,396.3333333,243.3333333,234.3333333,148.0,80.33333329999998
MYOT,-6.0,11.0,15.0,25.0,8.3333333,-8.3333333,6.0,-3.3333333,-6.0
MYOZ1,373.0,645.0,612.0,401.0,378.3333333,285.0,450.33333330000005,463.0,464.6666667
MYOZ2,-122.0,15.0,46.0,-46.0,-79.66666670000002,-68.0,-53.0,-57.0,-76.0
MYOZ3,346.0,495.0,548.0,493.0,393.3333333,390.6666667,295.6666667,206.6666667,14.6666667
MYRF,677.0,26.0,293.0,483.0,3513.666667,274.3333333,576.3333332999998,434.33333330000005,71.0
MYRIP,82.0,217.0,64.0,116.0,19.3333333,58.3333333,-3.3333333,3.0,522.6666667
MYT1,240.0,302.0,229.0,311.0,232.6666667,325.6666667,338.6666667,319.6666667,392.3333333
MYT1L,56.0,36.0,102.0,122.0,28.3333333,-4.0,60.3333333,76.66666670000002,117.0
MZB1,29.0,130.0,128.0,12.0,294.6666667,88.33333329999998,16.6666667,-19.6666667,138.66666669999998
MZF1,2256.0,3825.0,1884.0,2128.0,1073.0,5562.333333,821.3333332999998,573.3333332999998,1132.666667
MZT2A,6124.0,6053.0,2542.0,2638.0,1781.6666670000004,2965.333333,1542.0,1265.0,1389.333333
MZT2B,531.0,429.0,541.0,1548.0,629.3333332999998,887.3333332999997,632.0,519.6666667,358.6666667
N4BP1,4721.0,6279.0,7340.0,6001.0,5777.666667,4651.0,5666.333333,3651.333333,4095.666667
N4BP2L1,665.0,458.0,497.0,781.0,859.3333332999997,401.3333333,386.6666667,255.3333333,302.3333333
N4BP2L2,8179.0,7729.0,4159.0,8749.0,6203.0,4966.333333,2576.0,3364.666667,6193.333333
N4BP2L2-IT2,84.0,30.0,39.0,48.0,-16.0,-4.0,-11.6666667,-6.0,-63.0
N4BP3,171.0,170.0,96.0,232.0,135.66666669999998,109.3333333,137.0,177.33333330000005,211.0
N6AMT1,-129.0,-74.0,-87.0,-51.0,-157.0,-32.0,-68.0,-152.0,144.0
NAA10,431.0,424.0,741.0,660.0,509.33333330000005,620.3333332999998,476.0,482.6666667,635.6666667000002
NAA11,194.0,302.0,310.0,336.0,264.0,178.33333330000005,335.3333333,203.3333333,231.6666667
NAA15,-73.0,11.0,107.0,160.0,119.6666667,239.3333333,55.0,368.6666667,358.0
NAA16,887.0,785.0,504.0,1085.0,538.0,684.3333332999998,628.0,797.6666667000002,1046.0
NAA35,429.0,338.0,308.0,584.0,447.0,456.0,503.0,923.6666667000003,614.6666667000002
NAA40,468.0,488.0,409.0,453.0,428.33333330000005,295.3333333,896.6666667000003,1252.666667,1108.0
NAA50,3064.0,3093.0,2439.0,4706.0,2876.666667,5809.666667,4492.0,8272.0,6359.666667
NAA60,5906.0,8063.0,5708.0,5329.0,3015.0,2877.0,3169.333333,1300.666667,1678.6666670000004
NAAA,589.0,820.0,468.0,534.0,689.6666667000002,1371.0,688.6666667000002,449.33333330000005,392.0
NAALAD2,-3.0,58.0,64.0,-18.0,23.0,19.6666667,41.3333333,24.3333333,-12.6666667
NAALADL1,-364.0,-255.0,-335.0,-314.0,-243.6666667,-225.3333333,-303.0,-181.3333333,-215.6666667
NAB1,626.0,410.0,699.0,358.0,1323.0,443.0,4280.666667,4981.333333,3333.666667
NAB2,375.0,321.0,351.0,517.0,132.3333333,123.6666667,373.6666667,473.33333330000005,608.3333332999998
NABP1,67.0,-88.0,13.0,-3.0,196.6666667,-34.0,-14.6666667,36.3333333,8.0
NABP2,122.0,65.0,62.0,82.0,183.3333333,242.3333333,98.3333333,140.0,163.66666669999995
NACA,17268.0,14363.0,17535.0,21647.0,30081.33333,25771.0,12850.66667,22874.66667,25322.33333
